tconst,primaryTitle,startYear,the_numbers_url,scrape_success,scrape_error,plot_summary,franchise,has_plot_summary
tt0120667,Fantastic Four,2005.0,https://www.the-numbers.com/movie/Fantastic-Four-(2005),True,,"Scientist Reed Richards persuades his arrogant former classmate, Victor von Doom to fund his experiments with cosmic energy. On von Doom’s space station, the crew — including astronaut Ben Grimm, researcher Sue Storm and pilot Johnny Storm — are exposed to a mysterious cosmic storm that bestows super powers upon them. As they cope with their transformations, von Doom vows his revenge.",Fantastic Four,True
tt0121164,Corpse Bride,2005.0,https://www.the-numbers.com/movie/Corpse-Bride,True,,,,False
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005.0,https://www.the-numbers.com/movie/Star-Wars-Ep-III-Revenge-of-the-Sith,True,,"Years after the onset of the Clone Wars, the noble Jedi Knights lead a massive clone army into a galaxy-wide battle against the Separatists. When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker is seduced by the dark side of the Force to become the Emperor's new apprentice -- Darth Vader. The Jedi are decimated, as Obi-Wan Kenobi and Jedi Master Yoda are forced into hiding. The only hope for the galaxy are Anakin's own offspring -- the twin children born in secrecy who will grow up to become heroes.",Star Wars,True
tt0167190,Hellboy,2004.0,https://www.the-numbers.com/movie/Hellboy,True,,,Hellboy,False
tt0200465,The Bank Job,2008.0,https://www.the-numbers.com/movie/Bank-Job-The,True,,"Self-reformed petty criminal Terry Leather has become a financially struggling car dealer and settled into a pedestrian London life with his wife and kids, but takes the plunge into big crime when his ex-girlfriend, Martine, turns up with an offer to pull off a lucrative bank heist. After Terry assembles his crew of misfits and begins the operation, he finds that there are other agendas at play, and powerful players who have designs on the vault’s contents.",,True
tt0204313,Exorcist: The Beginning,2004.0,https://www.the-numbers.com/movie/Exorcist-The-Beginning,True,,"Father Lankester Merrin lost his faith after the atrocities he experienced during World War II. In an attempt to escape his past he travels around the world and is approached to assist by the excavation of a Christian Byzantine church, found in pristine condition in a remote region of Kenya. Only with the church also an ancient evil is unearthed that forces Merrin to face atrocities once again.",Exorcist,True
tt0206634,Children of Men,2006.0,https://www.the-numbers.com/movie/Children-of-Men,True,,,,False
tt0211933,Awake,2007.0,https://www.the-numbers.com/movie/Awake,True,,,,False
tt0241025,Vanity Fair,2004.0,https://www.the-numbers.com/movie/Vanity-Fair,True,,,,False
tt0252028,Surviving Christmas,2004.0,https://www.the-numbers.com/movie/Surviving-Christmas,True,,,,False
tt0257516,Cursed,2005.0,https://www.the-numbers.com/movie/Cursed,True,,"In Los Angeles, siblings Ellie and Jimmy come across an accident on Mulholland Drive. As they try to help the woman caught in the wreckage, a ferocious creature attacks them, devouring the woman and scratching the terrified siblings. They slowly discover that the creature was a werewolf and that they have fallen victim to a deadly curse. Now that they have been sliced by the werewolf's claws, they will be transformed into werewolves themselves.",,True
tt0259324,Ghost Rider,2007.0,https://www.the-numbers.com/movie/Ghost-Rider,True,,,Ghost Rider,False
tt0265208,The Girl Next Door,2004.0,https://www.the-numbers.com/movie/Girl-Next-Door-The-(2004),True,,,,False
tt0267891,The Ringer,2005.0,https://www.the-numbers.com/movie/Ringer-The,True,,,,False
tt0289879,The Butterfly Effect,2004.0,https://www.the-numbers.com/movie/Butterfly-Effect-The,True,,"College student Evan Treborn is afflicted with headaches so painful that he frequently blacks out. While unconscious, Evan is able to travel back in time to difficult moments in his childhood. He can also alter the past for friends, like Kayleigh, who was molested by her father. But changing the past can drastically alter the present, and Evan finds himself in nightmarish alternate realities, including one where he's locked away in prison.",Butterfly Effect,True
tt0290002,Meet the Fockers,2004.0,https://www.the-numbers.com/movie/Meet-the-Fockers,True,,,Meet the Parents,False
tt0292963,Before the Devil Knows You're Dead,2007.0,https://www.the-numbers.com/movie/Before-the-Devil-Knows-Youre-Dead,True,,,,False
tt0293429,Mortal Kombat,2021.0,https://www.the-numbers.com/movie/Mortal-Kombat-(2021),True,,"MMA fighter Cole Young, accustomed to taking a beating for money, is unaware of his heritage—or why Outworld's Emperor Shang Tsung has sent his best warrior, Sub-Zero, an otherworldly Cryomancer, to hunt Cole down. Fearing for his family’s safety, Cole goes in search of Sonya Blade at the direction of Jax, a Special Forces Major who bears the same strange dragon marking Cole was born with. Soon, he finds himself at the temple of Lord Raiden, an Elder God and the protector of Earthrealm, who grants sanctuary to those who bear the mark. Here, Cole trains with experienced warriors Liu Kang, Kung Lao and rogue mercenary Kano, as he prepares to stand with Earth’s greatest champions against the enemies of Outworld in a high stakes battle for the universe. But will Cole be pushed hard enough to unlock his arcana—the immense power from within his soul—in time to save not only his family, but to stop Outworld once and for all?",Mortal Kombat,True
tt0293508,The Phantom of the Opera,2004.0,https://www.the-numbers.com/movie/Phantom-of-the-Opera-The-(2004),True,,"A deformed man, known only as The Phantom, lives underneath the Paris Opera House. He falls in love with a chorus girl, Christine, and privately tutors her. He terrorizes the rest of the Paris Opera House and is able to scare the lead soprano away, so that Christine gets the opportunity to perform as lead. Things take a turn for the worse when Christine falls in love with Raoul, upon which The Phantom decides to kidnap Christine.",,True
tt0293564,Rush Hour 3,2007.0,https://www.the-numbers.com/movie/Rush-Hour-3,True,,,Rush Hour,False
tt0294870,Rent,2005.0,https://www.the-numbers.com/movie/Rent,True,,,,False
tt0296572,The Chronicles of Riddick,2004.0,https://www.the-numbers.com/movie/Chronicles-of-Riddick-The-(2004),True,,,Riddick,False
tt0297284,Mindhunters,2004.0,https://www.the-numbers.com/movie/Mindhunters,True,,,,False
tt0298148,Shrek 2,2004.0,https://www.the-numbers.com/movie/Shrek-2,True,,"After battling a fire-breathing dragon and the evil Lord Farquaad to win the hand of Princess Fiona, Shrek now faces his greatest challenge: the in-laws. Shrek and Princess Fiona return from their honeymoon to find an invitation to visit Fiona's parents, the King and Queen of the Kingdom of Far, Far Away. With Donkey along for the ride, the newlyweds set off. All of the citizens of Far, Far Away turn out to greet their returning Princess, and her parents happily anticipate the homecoming of their daughter and her new Prince. But no one could have prepared them for the sight of their new son-in-law, not to mention how much their little girl had changed. Little did Shrek and Fiona know that their marriage had foiled all of her father's plans for her future--and his own. Now the King must enlist the help of a powerful Fairy Godmother, the handsome Prince Charming and that famed ogre killer 'Puss In Boots' to put right his version of ""happily ever after.""",Shrek,True
tt0299172,Home on the Range,2004.0,https://www.the-numbers.com/movie/Home-on-the-Range,True,,,,False
tt0300051,Jersey Girl,2004.0,https://www.the-numbers.com/movie/Jersey-Girl,True,,,,False
tt0304141,Harry Potter and the Prisoner of Azkaban,2004.0,https://www.the-numbers.com/movie/Harry-Potter-and-the-Prisoner-of-Azkaban,True,,"Harry, Ron and Hermione return as teenagers for a third term at Hogwarts School of Witchcraft and Wizardry. But Harry’s fate, and that of the entire community of wizards, looks bleak when the infamous Sirius Black–convicted of abetting evil Lord Voldemort by killing 13 people with a single curse–escapes from prison. The only clue to where Sirius is headed: The Azkaban guards heard Black muttering in his sleep “He’s at Hogwarts … He’s at Hogwarts.”",Harry Potter,True
tt0307453,Shark Tale,2004.0,https://www.the-numbers.com/movie/Shark-Tale,True,,,,False
tt0308055,Bobby,2006.0,https://www.the-numbers.com/movie/Bobby,True,,,,False
tt0308644,Finding Neverland,2004.0,https://www.the-numbers.com/movie/Finding-Neverland,True,,,Peter Pan,False
tt0312004,Wallace & Gromit: The Curse of the Were-Rabbit,2005.0,https://www.the-numbers.com/movie/Wallace-and-Gromit-The-Curse-of-the-Were-Rabbit,True,,"Wallace and Gromit have launched a new business venture just in time for a major gardening competition in their neighborhood of West Wallaby. “Anti-Pesto” is a humane pest-relocation service in which Wallace and Gromit capture rabbits and other critters who have been eating the produce from local gardens and give them new homes somewhere else. Business has been going well, and when the woman hosting the garden show, Lady Tottington, discovers a massive tribe of rabbits has been making a mess of her garden, she calls in Wallace and Gromit to move the bunnies elsewhere. Wallace is quite taken with Lady Tottington, but he’s not the only one—Victor Quartermaine is a slick but arrogant upper-class type who wants to win Lady Tottington’s hand (and fortune) and is convinced he can do a better job capturing the rabbits than Wallace. However, Wallace’s attempts to brainwash the rabbits away from veggies using his latest invention has disastrous results, and soon Wallace has to deal with a beastly bunny as well as a heavily-armed Quartermaine.",Wallace and Gromit,True
tt0314498,The Perfect Score,2004.0,https://www.the-numbers.com/movie/Perfect-Score-The,True,,"The Perfect Score is a teen crime comedy about a group of high school students who decide to steal the answers to the SAT exam. Kyle wants to be an architect, but his scores are too low to get into the school of his choice. Matty is heartbroken when he is rejected from the school to which his girlfriend goes. Good girl Anna is pressured by her parents to excel in academics and remain innocent. Desmond is a basketball player who believes the SAT exam is racist. Rounding out the group is gutsy Francesca and lonely Roy.",,True
tt0315297,Twisted,2004.0,https://www.the-numbers.com/movie/Twisted,True,,,,False
tt0316654,Spider-Man 2,2004.0,https://www.the-numbers.com/movie/Spider-Man-2,True,,,Spider-Man,False
tt0317132,Because of Winn-Dixie,2005.0,https://www.the-numbers.com/movie/Because-of-Winn-Dixie,True,,,,False
tt0317198,Bridget Jones: The Edge of Reason,2004.0,https://www.the-numbers.com/movie/Bridget-Jones-The-Edge-of-Reason,True,,,Bridget Jones,False
tt0317219,Cars,2006.0,https://www.the-numbers.com/movie/Cars,True,,"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. En route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters - including Doc Hudson, Sally Carrera, and Mater - who help him realize that there are more important things than trophies, fame, and sponsorship.",Cars,True
tt0317648,Hidalgo,2004.0,https://www.the-numbers.com/movie/Hidalgo,True,,,,False
tt0317705,The Incredibles,2004.0,https://www.the-numbers.com/movie/Incredibles-The,True,,"Known to the world as superheroes Mr. Incredible and Elastigirl, Bob Parr and his wife Helen were among the world's greatest crime fighters, saving lives and battling evil on a daily basis. Fifteen years later, they have been forced to adopt civilian identities and retreat to the suburbs to live “normal” lives with their three kids, Violet, Dash and Jack-Jack. Itching to get back into action, Bob gets his chance when a mysterious communication summons him to a remote island for a top secret assignment.",The Incredibles,True
tt0317919,Mission: Impossible III,2006.0,https://www.the-numbers.com/movie/Mission-Impossible-III,True,,,Mission: Impossible,False
tt0318462,The Motorcycle Diaries,2004.0,https://www.the-numbers.com/movie/Motorcycle-Diaries-The,True,,,,False
tt0318627,Resident Evil: Apocalypse,2004.0,https://www.the-numbers.com/movie/Resident-Evil-Apocalypse,True,,,Resident Evil,False
tt0318649,Sahara,2005.0,https://www.the-numbers.com/movie/Sahara,True,,,,False
tt0318974,The Alamo,2004.0,https://www.the-numbers.com/movie/Alamo-The-(2004),True,,,,False
tt0319262,The Day After Tomorrow,2004.0,https://www.the-numbers.com/movie/Day-After-Tomorrow-The,True,,,,False
tt0320661,Kingdom of Heaven,2005.0,https://www.the-numbers.com/movie/Kingdom-of-Heaven,True,,"Kingdom of Heaven is an epic adventure about a common man who finds himself thrust into a decades-long war. A stranger in a strange land, he serves a doomed king, falls in love with an exotic and forbidden queen, and rises to knighthood. Ultimately, he must protect the people of Jerusalem from overwhelming forces — while striving to keep a fragile peace.",,True
tt0324127,Suspect Zero,2004.0,https://www.the-numbers.com/movie/Suspect-Zero,True,,,,False
tt0324554,Wicker Park,2004.0,https://www.the-numbers.com/movie/Wicker-Park,True,,,,False
tt0326856,Envy,2004.0,https://www.the-numbers.com/movie/Envy,True,,,,False
tt0327084,Over the Hedge,2006.0,https://www.the-numbers.com/movie/Over-the-Hedge,True,,,,False
tt0327162,The Stepford Wives,2004.0,https://www.the-numbers.com/movie/Stepford-Wives-The-(2004),True,,,,False
tt0327247,The Whole Ten Yards,2004.0,https://www.the-numbers.com/movie/Whole-Ten-Yards-The,True,,,Whole Nine Yards,False
tt0327437,Around the World in 80 Days,2004.0,https://www.the-numbers.com/movie/Around-the-World-in-80-Days-(2004),True,,,Around the World in 80 Days,False
tt0327554,Catwoman,2004.0,https://www.the-numbers.com/movie/Catwoman-(2004),True,,,Batman,False
tt0327597,Coraline,2009.0,https://www.the-numbers.com/movie/Coraline,True,,"While exploring her new home, a girl named Coraline discovers a secret door, behind which lies an alternate world that closely mirrors her own but, in many ways, is better. She rejoices in her discovery, until Other Mother and the rest of her parallel family try to keep her there forever. Coraline must use all her resources and bravery to make it back to her own family and life.",,True
tt0328107,Man on Fire,2004.0,https://www.the-numbers.com/movie/Man-on-Fire-(2004),True,,,,False
tt0329774,xXx: State of the Union,2005.0,https://www.the-numbers.com/movie/xXx-State-of-the-Union,True,,,xXx,False
tt0330373,Harry Potter and the Goblet of Fire,2005.0,https://www.the-numbers.com/movie/Harry-Potter-and-the-Goblet-of-Fire,True,,"It’s Harry Potter’s fourth term at Hogwarts School of Witchcraft and Wizardry! Harry, Ron and Hermione look forward to the international Quidditch finals. Harry dreams of spending time with the alluring Cho Chang. He wants to be a normal 14-year-old wizard . . . But Harry is not normal–even by wizarding standards. This term, for the first time in hundreds of years, a competition will be held between three schools of wizardry, and contestants will be magically chosen for the very dangerous event. Now, as Harry’s lightning scar burns, indicating the evil presence of Lord Voldemort, the Goblet of Fire makes its final selection for the competition–Harry Potter.",Harry Potter,True
tt0330793,The Punisher,2004.0,https://www.the-numbers.com/movie/Punisher-The,True,,,Punisher,False
tt0331632,Scooby-Doo 2: Monsters Unleashed,2004.0,https://www.the-numbers.com/movie/Scooby-Doo-2-Monsters-Unleashed,True,,"In this live-action sequel, the lovable dog Scooby-Doo once again joins his pals Shaggy, Velma, Fred and Daphne as they stumble into another seemingly supernatural mystery. In addition to facing off against various monsters that are tormenting their town, the gang must deal with television journalist Heather Jasper-Howe, who is out to discredit their investigations.",Scooby-Doo,True
tt0331933,Man of the House,2005.0,https://www.the-numbers.com/movie/Man-of-the-House-(2005),True,,,,False
tt0331952,The Clearing,2004.0,https://www.the-numbers.com/movie/Clearing-The,True,,"Wayne Hayes and his wife, Eileen, seem to have it all. Over the years, they've built a prosperous business together while raising their two children, Tim and Jill. But the family’s dream life becomes nightmarish when disgruntled employee Arnold Mack kidnaps Wayne and holds him for ransom. The FBI invades their home and scrutinizes every detail of their life — and ultimately, it is left to Eileen to deliver the ransom and rescue her husband.",,True
tt0332047,Fever Pitch,2005.0,https://www.the-numbers.com/movie/Fever-Pitch-(2005),True,,,,False
tt0332280,The Notebook,2004.0,https://www.the-numbers.com/movie/Notebook-The,True,,,,False
tt0332452,Troy,2004.0,https://www.the-numbers.com/movie/Troy,True,,,,False
tt0332712,My Baby's Daddy,2004.0,https://www.the-numbers.com/movie/My-Babys-Daddy,True,,,,False
tt0333766,Garden State,2004.0,https://www.the-numbers.com/movie/Garden-State,True,,,,False
tt0335121,Godsend,2004.0,https://www.the-numbers.com/movie/Godsend,True,,,,False
tt0335245,The Ladykillers,2004.0,https://www.the-numbers.com/movie/Ladykillers-The,True,,,,False
tt0335345,The Passion of the Christ,2004.0,https://www.the-numbers.com/movie/Passion-of-the-Christ-The,True,,"This depiction of the last 12 hours in the life of Jesus opens with his betrayal by Judas, his condemnation by the Pharisees and his appearance before Pontius Pilate. Pilate defers to King Herod, but Herod returns Jesus. Pilate then asks the crowd to choose between Jesus and Barrabas. The crowd chooses Barrabas. Pilate washes his hands of the matter, and Jesus is forced to carry the cross through the streets to Golgotha where Roman soldiers crucify him. Although Jesus briefly fears that God, his Father, has abandoned him, he regains his faith, proclaiming “Into Thy hands I command my spirit.” At the moment of his death, nature itself over-turns.",,True
tt0335438,Starsky & Hutch,2004.0,https://www.the-numbers.com/movie/Starsky-and-Hutch,True,,The origins of the charismatic crime-fighting duo David Starsky and Ken “Hutch” Hutchinson are explored when these undercover Bay City detectives are partnered for their very first assignment.,,True
tt0335559,Win a Date with Tad Hamilton!,2004.0,https://www.the-numbers.com/movie/Win-a-Date-with-Tad-Hamilton,True,,,,False
tt0337563,13 Going on 30,2004.0,https://www.the-numbers.com/movie/13-Going-on-30,True,,"With the help of some magic wishing dust, 13 year-old Jenna Rink becomes 30 and gorgeous overnight, with everything she ever wanted, except for her best friend Matt. Now, this grown woman must create some magic of her own to help the little girl inside find the true love she left behind.",,True
tt0337579,Barbershop 2: Back in Business,2004.0,https://www.the-numbers.com/movie/Barbershop-2-Back-in-Business,True,,,Barbershop,False
tt0337697,The Prince and Me,2004.0,https://www.the-numbers.com/movie/Prince-and-Me-The-(2004),True,,,Prince & Me,False
tt0337876,Birth,2004.0,https://www.the-numbers.com/movie/Birth,True,,,,False
tt0337917,Catch That Kid,2004.0,https://www.the-numbers.com/movie/Catch-That-Kid-(2004),True,,"Athletic 12-year-old Maddy shares an enthusiasm for mountain climbing with her father, Tom. Unfortunately, Tom suffers a spinal injury while scaling Mount Everest, and his family is unable to afford the surgery that can save him. Maddy decides to get the money for her father’s operation by robbing a high-security bank. She relies on her climbing skills and help from her geeky friends to pull it off successfully.",,True
tt0337921,Cellular,2004.0,https://www.the-numbers.com/movie/Cellular,True,,,,False
tt0337978,Live Free or Die Hard,2007.0,https://www.the-numbers.com/movie/Live-Free-or-Die-Hard,True,,,Die Hard,False
tt0338013,Eternal Sunshine of the Spotless Mind,2004.0,https://www.the-numbers.com/movie/Eternal-Sunshine-of-the-Spotless-Mind,True,,"After a painful breakup, Clementine undergoes a procedure to erase memories of her former boyfriend Joel from her mind. When Joel discovers that Clementine is going to extremes to forget their relationship, he undergoes the same procedure and slowly begins to forget the woman that he loved.",,True
tt0338096,Dirty Dancing: Havana Nights,2004.0,https://www.the-numbers.com/movie/Dirty-Dancing-Havana-Nights,True,,,Dirty Dancing,False
tt0338325,Paparazzi,2004.0,https://www.the-numbers.com/movie/Paparazzi,True,,,,False
tt0338348,The Polar Express,2004.0,https://www.the-numbers.com/movie/Polar-Express-The-(2004),True,,"A young boy lies awake in his room one snowy Christmas Eve, excited and alert. Breathing silently. Hardly moving. Waiting. He's listening for a sound he's afraid that he might never hear - the ringing bells of Santa's sleigh. The time is five minutes to midnight. Suddenly, the boy is startled by a thunderous roar. Clearing the mist from his window he sees the most amazing sight - a gleaming black train rumbles to a stop right in front of his house, the steam from its powerful engine hissing through the night sky and the softly falling snowflakes. The boy rushes outside, clad only in his pajamas and slippers, and is met by the train's conductor who seems to be waiting just for him. ""Well, are you coming?"" the conductor asks. ""Where?"" ""Why, to the North Pole, of course. This is the Polar Express!""",,True
tt0338526,Van Helsing,2004.0,https://www.the-numbers.com/movie/Van-Helsing,True,,,,False
tt0338751,The Aviator,2004.0,https://www.the-numbers.com/movie/Aviator-The-(2004),True,,,,False
tt0339412,Mr. 3000,2004.0,https://www.the-numbers.com/movie/Mr-3000,True,,,,False
tt0340163,Hostage,2005.0,https://www.the-numbers.com/movie/Hostage,True,,,,False
tt0343135,Along Came Polly,2004.0,https://www.the-numbers.com/movie/Along-Came-Polly-(2004),True,,,,False
tt0343660,50 First Dates,2004.0,https://www.the-numbers.com/movie/50-First-Dates,True,,,,False
tt0343737,The Good Shepherd,2006.0,https://www.the-numbers.com/movie/Good-Shepherd-The,True,,,,False
tt0343818,"I, Robot",2004.0,https://www.the-numbers.com/movie/I-Robot,True,,"In 2035, highly intelligent robots fill public service positions throughout the world, operating under three rules to keep humans safe. Despite his dark history with robotics, Detective Del Spooner investigates the alleged suicide of U.S. Robotics founder Alfred Lanning and believes that a human-like robot murdered him. With the help of a robot expert, Spooner discovers a conspiracy that may enslave the human race.",,True
tt0344854,Arthur and the Invisibles,2006.0,https://www.the-numbers.com/movie/Arthur-et-les-Minimoys,True,,,Arthur and the Minimoys,False
tt0345074,Connie and Carla,2004.0,https://www.the-numbers.com/movie/Connie-and-Carla,True,,,,False
tt0346156,Sky Captain and the World of Tomorrow,2004.0,https://www.the-numbers.com/movie/Sky-Captain-and-the-World-of-Tomorrow,True,,"Sky Captain and reporter Polly Perkins investigate the disappearance of well-known scientists around the world. Together with Frankly Cook, commander of an all-female amphibious squadron, and technical genius Dex they try to stop Dr. Totenkopf from executing his evil plot to destroy the world.",,True
tt0346491,Alexander,2004.0,https://www.the-numbers.com/movie/Alexander,True,,,,False
tt0348150,Superman Returns,2006.0,https://www.the-numbers.com/movie/Superman-Returns,True,,"While Lex Luthor plots to destroy him once and for all, the Man of Steel returns after a long absence to a much-changed world. Lois Lane has moved on with her life, and society has learned to survive without him. Superman must find a way to reconnect with her and find his place in a world that may no longer need him.",Superman,True
tt0348333,Waiting...,2005.0,https://www.the-numbers.com/movie/Waiting,True,,,Waiting,False
tt0349169,Breakin' All the Rules,2004.0,https://www.the-numbers.com/movie/Breakin-All-the-Rules,True,,"After being dumped by his fiancée, aspiring writer Quincy Watson pens the ultimate how-to book on breaking up. When it becomes a smash bestseller, Quincy starts giving his cousin, Evan, choice tips on how towing the battle of the sexes. But when Evan's beautiful girlfriend Nikki gets wind of the plan, it's these players that end up getting played in this sexy comedy of errors about breaking up, breaking through, and breaking all the rules.",,True
tt0349683,King Arthur,2004.0,https://www.the-numbers.com/movie/King-Arthur-(2004),True,,,,False
tt0349710,Ladder 49,2004.0,https://www.the-numbers.com/movie/Ladder-49,True,,,,False
tt0349825,Miracle,2004.0,https://www.the-numbers.com/movie/Miracle-(2004),True,,,,False
tt0349903,Ocean's Twelve,2004.0,https://www.the-numbers.com/movie/Oceans-Twelve-(2004),True,,"After successfully robbing five casinos in one night, Danny Ocean and his crew of thieves have big problems. Despite pulling off one of the biggest heists in Las Vegas history, the members of the gang have already spent much of the money they stole. Casino owner Terry Benedict demands that Ocean return the money, plus millions more in interest. Unable to come up the cash, the crew is forced to come together to pull off another series of heists, this time in Europe.",Ocean's Eleven,True
tt0350028,Raising Helen,2004.0,https://www.the-numbers.com/movie/Raising-Helen,True,,,,False
tt0350258,Ray,2004.0,https://www.the-numbers.com/movie/Ray-(2004),True,,,,False
tt0350261,An Unfinished Life,2005.0,https://www.the-numbers.com/movie/Unfinished-Life-An,True,,,,False
tt0351283,Madagascar,2005.0,https://www.the-numbers.com/movie/Madagascar,True,,,Madagascar,False
tt0351977,Walking Tall,2004.0,https://www.the-numbers.com/movie/Walking-Tall-(2004),True,,"When decorated military officer Chris Vaughn returns to his hometown in the state of Washington to find work, he finds that the lumber mill has closed, and the town’s big business is now a seedy casino operated by one of his old schoolmates, Jay Hamilton. Aided by his loyal friend Ray Templeton, Vaughn tries to make a stand against the area’s crime and corruption, but, finding no help from the police, he must take matters into his own hands.",,True
tt0352248,Cinderella Man,2005.0,https://www.the-numbers.com/movie/Cinderella-Man-(2005),True,,,,False
tt0352277,De-Lovely,2004.0,https://www.the-numbers.com/movie/De-Lovely,True,,,,False
tt0353774,NASCAR: The IMAX Experience,2004.0,https://www.the-numbers.com/movie/NASCAR-The-IMAX-Experience,True,,,,False
tt0355295,The Brothers Grimm,2005.0,https://www.the-numbers.com/movie/Brothers-Grimm-The,True,,,,False
tt0356150,EuroTrip,2004.0,https://www.the-numbers.com/movie/EuroTrip,True,,"After a brutal breakup at a high-school graduation party, lovelorn Ohio teen Scott Thomas goes on a quest across Europe to find his sexy German pen pal, Mieke. Joining him are his brainless buddy and a pair of twins they meet up with in Paris. Scott's quest does not turn out to be easy, however, and the backpackers become embroiled in many farcical situations as they hop from country to country.",,True
tt0356470,A Cinderella Story,2004.0,https://www.the-numbers.com/movie/Cinderella-Story-A-(2004),True,,,A Cinderella Story,False
tt0356618,The Forgotten,2004.0,https://www.the-numbers.com/movie/Forgotten-The,True,,"Telly Paretta is a grieving mother struggling to cope with the loss of her 8-year-old son. She is stunned when her psychiatrist reveals that she has created eight years of memories about a son she never had. But when she meets a man who has had a similar experience, Telly embarks on a search to prove her son’s existence, and her sanity.",,True
tt0356634,Garfield: The Movie,2004.0,https://www.the-numbers.com/movie/Garfield-The-Movie,True,,,Garfield,False
tt0356680,The Family Stone,2005.0,https://www.the-numbers.com/movie/Family-Stone-The,True,,,,False
tt0356721,I Heart Huckabees,2004.0,https://www.the-numbers.com/movie/I-Heart-Huckabees,True,,,,False
tt0356910,Mr. & Mrs. Smith,2005.0,https://www.the-numbers.com/movie/Mr-and-Mrs-Smith,True,,,,False
tt0357277,Elektra,2005.0,https://www.the-numbers.com/movie/Elektra,True,,,,False
tt0357413,Anchorman: The Legend of Ron Burgundy,2004.0,https://www.the-numbers.com/movie/Anchorman-The-Legend-of-Ron-Burgundy,True,,,Anchorman,False
tt0357507,Boogeyman,2005.0,https://www.the-numbers.com/movie/Boogeyman,True,,"As a young boy, Tim witnesses the horrifying event of his father being dragged away by the boogeyman. Despite the reassurances of his mother that the boogeyman is not real, he is never the same afterward. Years later, Tim manages to create a normal life for himself — though he lives without closets and keeps his mattress on the floor. But when he learns of his mother’s death, Tim must return home to face his childhood trauma.",Boogeyman,True
tt0358082,Robots,2005.0,https://www.the-numbers.com/movie/Robots,True,,,,False
tt0358135,Shall We Dance?,2004.0,https://www.the-numbers.com/movie/Shall-We-Dance-(2004),True,,,,False
tt0358273,Walk the Line,2005.0,https://www.the-numbers.com/movie/Walk-the-Line,True,,,,False
tt0358349,Agent Cody Banks 2: Destination London,2004.0,https://www.the-numbers.com/movie/Agent-Cody-Banks-2-Destination-London-(2004),True,,,Agent Cody Banks,False
tt0359013,Blade: Trinity,2004.0,https://www.the-numbers.com/movie/Blade-Trinity-(2004),True,,,Blade,False
tt0359517,Johnson Family Vacation,2004.0,https://www.the-numbers.com/movie/Johnson-Family-Vacation,True,,,Johnson Family,False
tt0360139,Chasing Liberty,2004.0,https://www.the-numbers.com/movie/Chasing-Liberty,True,,,,False
tt0360486,Constantine,2005.0,https://www.the-numbers.com/movie/Constantine,True,,,John Constantine,False
tt0360717,King Kong,2005.0,https://www.the-numbers.com/movie/King-Kong-(2005),True,,,King Kong,False
tt0361089,Valiant,2005.0,https://www.the-numbers.com/movie/Valiant,True,,,,False
tt0361411,Bride & Prejudice,2004.0,https://www.the-numbers.com/movie/Bride-and-Prejudice,True,,,,False
tt0361467,Confessions of a Teenage Drama Queen,2004.0,https://www.the-numbers.com/movie/Confessions-of-a-Teenage-Drama-Queen,True,,,,False
tt0361596,Fahrenheit 9/11,2004.0,https://www.the-numbers.com/movie/Fahrenheit-9-11,True,,,,False
tt0361696,Raise Your Voice,2004.0,https://www.the-numbers.com/movie/Raise-Your-Voice,True,,,,False
tt0361748,Inglourious Basterds,2009.0,https://www.the-numbers.com/movie/Inglourious-Basterds,True,,"It is the first year of Germany’s occupation of France. Allied officer Lt. Aldo Raine assembles a team of Jewish soldiers to commit violent acts of retribution against the Nazis, including the taking of their scalps. He and his men join forces with Bridget von Hammersmark, a German actress and undercover agent, to bring down the leaders of the Third Reich. Their fates converge with theater owner Shosanna Dreyfus, who seeks to avenge the Nazis’ execution of her family.",,True
tt0361841,Little Black Book,2004.0,https://www.the-numbers.com/movie/Little-Black-Book,True,,"Stacey is an associate producer for a daytime talk show featuring Kippie Kann. She’s upset that her boyfriend, Derek, won't talk about his past relationships. With encouragement from her co-worker Barb, Stacey steals Derek’s phone, contacts his ex-girlfriends and interviews them under the pretense that they’ll be on the show. But things get complicated when Stacey forms a friendship with one of the girls.",,True
tt0361925,Welcome to Mooseport,2004.0,https://www.the-numbers.com/movie/Welcome-to-Mooseport,True,,,,False
tt0362120,Scary Movie 4,2006.0,https://www.the-numbers.com/movie/Scary-Movie-4-(2006),True,,,Scary Movie,False
tt0362165,Son of the Mask,2005.0,https://www.the-numbers.com/movie/Son-of-the-Mask,True,,,Mask,False
tt0362227,The Terminal,2004.0,https://www.the-numbers.com/movie/Terminal-The-(2004),True,,,,False
tt0362269,Kinsey,2004.0,https://www.the-numbers.com/movie/Kinsey,True,,,,False
